country,url,wiki_country
Lesotho,https://en.wikipedia.org/wiki/Lesotho,Lesotho
Liberia,https://en.wikipedia.org/wiki/Liberia,Liberia
Libya,https://en.wikipedia.org/wiki/Libya,Libya
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein,Liechtenstein
Lithuania,https://en.wikipedia.org/wiki/Lithuania,Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg,Luxembourg
Madagascar,https://en.wikipedia.org/wiki/Madagascar,Madagascar
Malawi,https://en.wikipedia.org/wiki/Malawi,Malawi
Malaysia,https://en.wikipedia.org/wiki/Malaysia,Malaysia
Maldives,https://en.wikipedia.org/wiki/Maldives,Maldives
Mali,https://en.wikipedia.org/wiki/Mali,Mali
Malta,https://en.wikipedia.org/wiki/Malta,Malta
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands,Marshall Islands
Mauritania,https://en.wikipedia.org/wiki/Mauritania,Mauritania
Mauritius,https://en.wikipedia.org/wiki/Mauritius,Mauritius
Mexico,https://en.wikipedia.org/wiki/Mexico,Mexico
Micronesia (Federated States of),https://en.wikipedia.org/wiki/Federated_States_of_Micronesia,Micronesia
Moldova,https://en.wikipedia.org/wiki/Moldova,Moldova
Monaco,https://en.wikipedia.org/wiki/Monaco,Monaco
Mongolia,https://en.wikipedia.org/wiki/Mongolia,Mongolia
Montenegro,https://en.wikipedia.org/wiki/Montenegro,Montenegro
Morocco,https://en.wikipedia.org/wiki/Morocco,Morocco
Mozambique,https://en.wikipedia.org/wiki/Mozambique,Mozambique
Myanmar,https://en.wikipedia.org/wiki/Myanmar,Myanmar
Namibia,https://en.wikipedia.org/wiki/Namibia,Namibia
Nauru,https://en.wikipedia.org/wiki/Nauru,Nauru
Nepal,https://en.wikipedia.org/wiki/Nepal,Nepal
Netherlands,https://en.wikipedia.org/wiki/Netherlands,Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand,New Zealand
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua,Nicaragua
Niger,https://en.wikipedia.org/wiki/Niger,Niger
Nigeria,https://en.wikipedia.org/wiki/Nigeria,Nigeria
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia,North Macedonia
Norway,https://en.wikipedia.org/wiki/Norway,Norway
Oman,https://en.wikipedia.org/wiki/Oman,Oman
Pakistan,https://en.wikipedia.org/wiki/Pakistan,Pakistan
Palau,https://en.wikipedia.org/wiki/Palau,Palau
Panama,https://en.wikipedia.org/wiki/Panama,Panama
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea,Papua New Guinea
Paraguay,https://en.wikipedia.org/wiki/Paraguay,Paraguay
Peru,https://en.wikipedia.org/wiki/Peru,Peru
Philippines,https://en.wikipedia.org/wiki/Philippines,Philippines
Poland,https://en.wikipedia.org/wiki/Poland,Poland
Portugal,https://en.wikipedia.org/wiki/Portugal,Portugal
Qatar,https://en.wikipedia.org/wiki/Qatar,Qatar
Republic of Korea,https://en.wikipedia.org/wiki/South_Korea,South Korea
Romania,https://en.wikipedia.org/wiki/Romania,Romania
Russia,https://en.wikipedia.org/wiki/Russia,Russia
